000001.SZ	平安银行
000002.SZ	万科A
000004.SZ	国农科技
000005.SZ	世纪星源
000006.SZ	深振业A
000007.SZ	全新好
000008.SZ	神州高铁
000009.SZ	中国宝安
000010.SZ	美丽生态
000011.SZ	深物业A
000012.SZ	南玻A
000014.SZ	沙河股份
000016.SZ	深康佳A
000017.SZ	深中华A
000018.SZ	神州长城
000019.SZ	深深宝A
000020.SZ	深华发A
000021.SZ	深科技
000022.SZ	深赤湾A
000023.SZ	深天地A
000025.SZ	特力A
000026.SZ	飞亚达A
000027.SZ	深圳能源
000028.SZ	国药一致
000029.SZ	深深房A
000030.SZ	富奥股份
000031.SZ	中粮地产
000032.SZ	深桑达A
000033.SZ	*ST新都
000034.SZ	神州数码
000035.SZ	中国天楹
000036.SZ	华联控股
000037.SZ	*ST南电A
000038.SZ	深大通
000039.SZ	中集集团
000040.SZ	宝安地产
000042.SZ	中洲控股
000043.SZ	中航地产
000045.SZ	深纺织A
000046.SZ	泛海控股
000048.SZ	康达尔
000049.SZ	德赛电池
000050.SZ	深天马A
000055.SZ	方大集团
000056.SZ	皇庭国际
000058.SZ	深赛格
000059.SZ	华锦股份
000060.SZ	中金岭南
000061.SZ	农产品
000062.SZ	深圳华强
000063.SZ	中兴通讯
000065.SZ	北方国际
000066.SZ	长城电脑
000068.SZ	华控赛格
000069.SZ	华侨城A
000070.SZ	特发信息
000078.SZ	海王生物
000088.SZ	盐田港
000089.SZ	深圳机场
000090.SZ	天健集团
000096.SZ	广聚能源
000099.SZ	中信海直
000100.SZ	TCL集团
000150.SZ	宜华健康
000151.SZ	中成股份
000153.SZ	丰原药业
000155.SZ	*ST川化
000156.SZ	华数传媒
000157.SZ	中联重科
000158.SZ	常山股份
000159.SZ	国际实业
000166.SZ	申万宏源
000301.SZ	东方市场
000333.SZ	美的集团
000338.SZ	潍柴动力
000400.SZ	许继电气
000401.SZ	冀东水泥
000402.SZ	金融街
000403.SZ	ST生化
000404.SZ	华意压缩
000407.SZ	胜利股份
000408.SZ	*ST金源
000409.SZ	山东地矿
000410.SZ	沈阳机床
000411.SZ	英特集团
000413.SZ	东旭光电
000415.SZ	渤海金控
000416.SZ	民生控股
000417.SZ	合肥百货
000418.SZ	小天鹅A
000419.SZ	通程控股
000420.SZ	吉林化纤
000421.SZ	南京公用
000422.SZ	湖北宜化
000423.SZ	东阿阿胶
000425.SZ	徐工机械
000426.SZ	兴业矿业
000428.SZ	华天酒店
000429.SZ	粤高速A
000430.SZ	张家界
000488.SZ	晨鸣纸业
000498.SZ	山东路桥
000501.SZ	鄂武商A
000502.SZ	绿景控股
000503.SZ	海虹控股
000504.SZ	*ST生物
000505.SZ	*ST珠江
000506.SZ	中润资源
000507.SZ	珠海港
000509.SZ	华塑控股
000510.SZ	金路集团
000511.SZ	*ST烯碳
000513.SZ	丽珠集团
000514.SZ	渝开发
000516.SZ	国际医学
000517.SZ	荣安地产
000518.SZ	四环生物
000519.SZ	江南红箭
000520.SZ	长航凤凰
000521.SZ	美菱电器
000523.SZ	广州浪奇
000524.SZ	岭南控股
000525.SZ	红太阳
000526.SZ	紫光学大
000528.SZ	柳工
000529.SZ	广弘控股
000530.SZ	大冷股份
000531.SZ	穗恒运A
000532.SZ	力合股份
000533.SZ	万家乐
000534.SZ	万泽股份
000536.SZ	华映科技
000537.SZ	广宇发展
000538.SZ	云南白药
000539.SZ	粤电力A
000540.SZ	中天城投
000541.SZ	佛山照明
000543.SZ	皖能电力
000544.SZ	中原环保
000545.SZ	金浦钛业
000546.SZ	金圆股份
000547.SZ	航天发展
000548.SZ	湖南投资
000550.SZ	江铃汽车
000551.SZ	创元科技
000552.SZ	靖远煤电
000553.SZ	沙隆达A
000554.SZ	泰山石油
000555.SZ	神州信息
000557.SZ	西部创业
000558.SZ	莱茵体育
000559.SZ	万向钱潮
000560.SZ	昆百大A
000561.SZ	烽火电子
000563.SZ	陕国投A
000564.SZ	西安民生
000565.SZ	渝三峡A
000566.SZ	海南海药
000567.SZ	海德股份
000568.SZ	泸州老窖
000570.SZ	苏常柴A
000571.SZ	新大洲A
000572.SZ	海马汽车
000573.SZ	粤宏远A
000576.SZ	广东甘化
000581.SZ	威孚高科
000582.SZ	北部湾港
000584.SZ	友利控股
000585.SZ	东北电气
000586.SZ	汇源通信
000587.SZ	金洲慈航
000589.SZ	黔轮胎A
000590.SZ	启迪古汉
000591.SZ	太阳能
000592.SZ	平潭发展
000593.SZ	大通燃气
000595.SZ	宝塔实业
000596.SZ	古井贡酒
000597.SZ	东北制药
000598.SZ	兴蓉环境
000599.SZ	青岛双星
000600.SZ	建投能源
000601.SZ	韶能股份
000603.SZ	盛达矿业
000605.SZ	渤海股份
000606.SZ	*ST易桥
000607.SZ	华媒控股
000608.SZ	阳光股份
000609.SZ	绵石投资
000610.SZ	西安旅游
000611.SZ	*ST天首
000612.SZ	焦作万方
000613.SZ	大东海A
000615.SZ	京汉股份
000616.SZ	海航投资
000617.SZ	*ST济柴
000619.SZ	海螺型材
000620.SZ	新华联
000622.SZ	*ST恒立
000623.SZ	吉林敖东
000625.SZ	长安汽车
000626.SZ	如意集团
000627.SZ	天茂集团
000628.SZ	高新发展
000629.SZ	*ST钒钛
000630.SZ	铜陵有色
000631.SZ	顺发恒业
000632.SZ	三木集团
000633.SZ	*ST合金
000635.SZ	英力特
000636.SZ	风华高科
000637.SZ	茂化实华
000638.SZ	万方发展
000639.SZ	西王食品
000650.SZ	仁和药业
000651.SZ	格力电器
000652.SZ	泰达股份
000655.SZ	金岭矿业
000656.SZ	金科股份
000657.SZ	中钨高新
000659.SZ	珠海中富
000661.SZ	长春高新
000662.SZ	天夏智慧
000663.SZ	永安林业
000665.SZ	湖北广电
000666.SZ	经纬纺机
000667.SZ	美好集团
000668.SZ	荣丰控股
000669.SZ	金鸿能源
000670.SZ	*ST盈方
000671.SZ	阳光城
000672.SZ	上峰水泥
000673.SZ	当代东方
000676.SZ	智度投资
000677.SZ	恒天海龙
000678.SZ	襄阳轴承
000679.SZ	大连友谊
000680.SZ	山推股份
000681.SZ	视觉中国
000682.SZ	东方电子
000683.SZ	远兴能源
000685.SZ	中山公用
000686.SZ	东北证券
000687.SZ	华讯方舟
000688.SZ	建新矿业
000690.SZ	宝新能源
000691.SZ	ST亚太
000692.SZ	惠天热电
000693.SZ	ST华泽
000695.SZ	滨海能源
000697.SZ	炼石有色
000698.SZ	沈阳化工
000700.SZ	模塑科技
000701.SZ	厦门信达
000702.SZ	正虹科技
000703.SZ	恒逸石化
000705.SZ	浙江震元
000707.SZ	双环科技
000708.SZ	大冶特钢
000709.SZ	河钢股份
000710.SZ	天兴仪表
000711.SZ	京蓝科技
000712.SZ	锦龙股份
000713.SZ	丰乐种业
000715.SZ	中兴商业
000716.SZ	黑芝麻
000717.SZ	*ST韶钢
000718.SZ	苏宁环球
000719.SZ	大地传媒
000720.SZ	新能泰山
000721.SZ	西安饮食
000722.SZ	湖南发展
000723.SZ	美锦能源
000725.SZ	京东方A
000726.SZ	鲁泰A
000727.SZ	华东科技
000728.SZ	国元证券
000729.SZ	燕京啤酒
000731.SZ	四川美丰
000732.SZ	泰禾集团
000733.SZ	振华科技
000735.SZ	罗牛山
000736.SZ	中房地产
000737.SZ	南风化工
000738.SZ	中航动控
000739.SZ	普洛药业
000748.SZ	长城信息
000750.SZ	国海证券
000751.SZ	锌业股份
000752.SZ	西藏发展
000753.SZ	漳州发展
000755.SZ	山西三维
000756.SZ	新华制药
000757.SZ	浩物股份
000758.SZ	中色股份
000759.SZ	中百集团
000760.SZ	斯太尔
000761.SZ	本钢板材
000762.SZ	西藏矿业
000766.SZ	通化金马
000767.SZ	漳泽电力
000768.SZ	中航飞机
000776.SZ	广发证券
000777.SZ	中核科技
000778.SZ	新兴铸管
000779.SZ	三毛派神
000780.SZ	平庄能源
000782.SZ	美达股份
000783.SZ	长江证券
000785.SZ	武汉中商
000786.SZ	北新建材
000788.SZ	北大医药
000789.SZ	万年青
000790.SZ	华神集团
000791.SZ	甘肃电投
000792.SZ	盐湖股份
000793.SZ	华闻传媒
000795.SZ	英洛华
000796.SZ	凯撒旅游
000797.SZ	中国武夷
000798.SZ	中水渔业
000799.SZ	酒鬼酒
000800.SZ	一汽轿车
000801.SZ	四川九洲
000802.SZ	北京文化
000803.SZ	金宇车城
000806.SZ	银河生物
000807.SZ	云铝股份
000809.SZ	铁岭新城
000810.SZ	创维数字
000811.SZ	烟台冰轮
000812.SZ	陕西金叶
000813.SZ	天山纺织
000815.SZ	美利纸业
000816.SZ	智慧农业
000818.SZ	方大化工
000819.SZ	岳阳兴长
000820.SZ	金城股份
000821.SZ	京山轻机
000822.SZ	山东海化
000823.SZ	超声电子
000825.SZ	太钢不锈
000826.SZ	启迪桑德
000828.SZ	东莞控股
000829.SZ	天音控股
000830.SZ	鲁西化工
000831.SZ	*ST五稀
000833.SZ	贵糖股份
000835.SZ	长城动漫
000836.SZ	鑫茂科技
000837.SZ	秦川机床
000838.SZ	财信发展
000839.SZ	中信国安
000848.SZ	承德露露
000850.SZ	华茂股份
000851.SZ	高鸿股份
000852.SZ	石化机械
000856.SZ	*ST冀装
000858.SZ	五粮液
000859.SZ	国风塑业
000860.SZ	顺鑫农业
000861.SZ	海印股份
000862.SZ	银星能源
000863.SZ	三湘股份
000868.SZ	安凯客车
000869.SZ	张裕A
000875.SZ	吉电股份
000876.SZ	新希望
000877.SZ	天山股份
000878.SZ	云南铜业
000880.SZ	潍柴重机
000881.SZ	大连国际
000882.SZ	华联股份
000883.SZ	湖北能源
000885.SZ	同力水泥
000886.SZ	海南高速
000887.SZ	中鼎股份
000888.SZ	峨眉山A
000889.SZ	茂业通信
000890.SZ	法尔胜
000892.SZ	星美联合
000893.SZ	东凌国际
000895.SZ	双汇发展
000897.SZ	津滨发展
000898.SZ	鞍钢股份
000899.SZ	赣能股份
000900.SZ	现代投资
000901.SZ	航天科技
000902.SZ	新洋丰
000903.SZ	云内动力
000905.SZ	厦门港务
000906.SZ	物产中拓
000908.SZ	景峰医药
000909.SZ	数源科技
000910.SZ	大亚科技
000911.SZ	南宁糖业
000912.SZ	泸天化
000913.SZ	*ST钱江
000915.SZ	山大华特
000916.SZ	华北高速
000917.SZ	电广传媒
000918.SZ	嘉凯城
000919.SZ	金陵药业
000920.SZ	南方汇通
000921.SZ	海信科龙
000922.SZ	佳电股份
000923.SZ	河北宣工
000925.SZ	众合科技
000926.SZ	福星股份
000927.SZ	一汽夏利
000928.SZ	中钢国际
000929.SZ	兰州黄河
000930.SZ	中粮生化
000931.SZ	中关村
000932.SZ	华菱钢铁
000933.SZ	*ST神火
000935.SZ	四川双马
000936.SZ	华西股份
000937.SZ	冀中能源
000938.SZ	紫光股份
000939.SZ	凯迪生态
000948.SZ	南天信息
000949.SZ	新乡化纤
000950.SZ	*ST建峰
000951.SZ	中国重汽
000952.SZ	广济药业
000953.SZ	河池化工
000955.SZ	欣龙控股
000957.SZ	中通客车
000958.SZ	东方能源
000959.SZ	首钢股份
000960.SZ	锡业股份
000961.SZ	中南建设
000962.SZ	*ST东钽
000963.SZ	华东医药
000965.SZ	天保基建
000966.SZ	长源电力
000967.SZ	盈峰环境
000968.SZ	*ST煤气
000969.SZ	安泰科技
000970.SZ	中科三环
000971.SZ	高升控股
000972.SZ	中基健康
000973.SZ	佛塑科技
000975.SZ	银泰资源
000976.SZ	春晖股份
000977.SZ	浪潮信息
000978.SZ	桂林旅游
000979.SZ	中弘股份
000980.SZ	金马股份
000981.SZ	银亿股份
000982.SZ	中银绒业
000983.SZ	西山煤电
000985.SZ	大庆华科
000987.SZ	广州友谊
000988.SZ	华工科技
000989.SZ	九芝堂
000990.SZ	诚志股份
000993.SZ	闽东电力
000995.SZ	*ST皇台
000996.SZ	中国中期
000997.SZ	新大陆
000998.SZ	隆平高科
000999.SZ	华润三九
001696.SZ	宗申动力
001896.SZ	豫能控股
001979.SZ	招商蛇口
002001.SZ	新和成
002002.SZ	鸿达兴业
002003.SZ	伟星股份
002004.SZ	华邦健康
002005.SZ	德豪润达
002006.SZ	精功科技
002007.SZ	华兰生物
002008.SZ	大族激光
002009.SZ	天奇股份
002010.SZ	传化股份
002011.SZ	盾安环境
002012.SZ	凯恩股份
002013.SZ	中航机电
002014.SZ	永新股份
002015.SZ	霞客环保
002016.SZ	世荣兆业
002017.SZ	东信和平
002018.SZ	华信国际
002019.SZ	亿帆鑫富
002020.SZ	京新药业
002021.SZ	中捷资源
002022.SZ	科华生物
002023.SZ	海特高新
002024.SZ	苏宁云商
002025.SZ	航天电器
002026.SZ	山东威达
002027.SZ	分众传媒
002028.SZ	思源电气
002029.SZ	七匹狼
002030.SZ	达安基因
002031.SZ	巨轮智能
002032.SZ	苏泊尔
002033.SZ	丽江旅游
002034.SZ	美欣达
002035.SZ	华帝股份
002036.SZ	联创电子
002037.SZ	久联发展
002038.SZ	双鹭药业
002039.SZ	黔源电力
002040.SZ	南京港
002041.SZ	登海种业
002042.SZ	华孚色纺
002043.SZ	兔宝宝
002044.SZ	美年健康
002045.SZ	国光电器
002046.SZ	轴研科技
002047.SZ	宝鹰股份
002048.SZ	宁波华翔
002049.SZ	紫光国芯
002050.SZ	三花股份
002051.SZ	中工国际
002052.SZ	同洲电子
002053.SZ	云南盐化
002054.SZ	德美化工
002055.SZ	得润电子
002056.SZ	横店东磁
002057.SZ	中钢天源
002058.SZ	威尔泰
002059.SZ	云南旅游
002060.SZ	粤水电
002061.SZ	*ST江化
002062.SZ	宏润建设
002063.SZ	远光软件
002064.SZ	华峰氨纶
002065.SZ	东华软件
002066.SZ	瑞泰科技
002067.SZ	景兴纸业
002068.SZ	黑猫股份
002069.SZ	*ST獐岛
002070.SZ	众和股份
002071.SZ	长城影视
002072.SZ	凯瑞德
002073.SZ	软控股份
002074.SZ	国轩高科
002075.SZ	沙钢股份
002076.SZ	雪莱特
002077.SZ	大港股份
002078.SZ	太阳纸业
002079.SZ	苏州固锝
002080.SZ	中材科技
002081.SZ	金螳螂
002082.SZ	栋梁新材
002083.SZ	孚日股份
002084.SZ	海鸥卫浴
002085.SZ	万丰奥威
002086.SZ	东方海洋
002087.SZ	新野纺织
002088.SZ	鲁阳节能
002089.SZ	新海宜
002090.SZ	金智科技
002091.SZ	江苏国泰
002092.SZ	中泰化学
002093.SZ	国脉科技
002094.SZ	青岛金王
002095.SZ	生意宝
002096.SZ	南岭民爆
002097.SZ	山河智能
002098.SZ	浔兴股份
002099.SZ	海翔药业
002100.SZ	天康生物
002101.SZ	广东鸿图
002102.SZ	冠福股份
002103.SZ	广博股份
002104.SZ	恒宝股份
002105.SZ	信隆实业
002106.SZ	莱宝高科
002107.SZ	沃华医药
002108.SZ	沧州明珠
002109.SZ	*ST兴化
002110.SZ	三钢闽光
002111.SZ	威海广泰
002112.SZ	三变科技
002113.SZ	天润数娱
002114.SZ	罗平锌电
002115.SZ	三维通信
002116.SZ	中国海诚
002117.SZ	东港股份
002118.SZ	紫鑫药业
002119.SZ	康强电子
002120.SZ	新海股份
002121.SZ	科陆电子
002122.SZ	天马股份
002123.SZ	荣信股份
002124.SZ	天邦股份
002125.SZ	湘潭电化
002126.SZ	银轮股份
002127.SZ	南极电商
002128.SZ	露天煤业
002129.SZ	中环股份
002130.SZ	沃尔核材
002131.SZ	利欧股份
002132.SZ	恒星科技
002133.SZ	广宇集团
002134.SZ	天津普林
002135.SZ	东南网架
002136.SZ	安纳达
002137.SZ	麦达数字
002138.SZ	顺络电子
002139.SZ	拓邦股份
002140.SZ	东华科技
002141.SZ	蓉胜超微
002142.SZ	宁波银行
002143.SZ	印纪传媒
002144.SZ	宏达高科
002145.SZ	中核钛白
002146.SZ	荣盛发展
002147.SZ	新光圆成
002148.SZ	北纬通信
002149.SZ	西部材料
002150.SZ	通润装备
002151.SZ	北斗星通
002152.SZ	广电运通
002153.SZ	石基信息
002154.SZ	报喜鸟
002155.SZ	湖南黄金
002156.SZ	通富微电
002157.SZ	正邦科技
002158.SZ	汉钟精机
002159.SZ	三特索道
002160.SZ	常铝股份
002161.SZ	远望谷
002162.SZ	悦心健康
002163.SZ	中航三鑫
002164.SZ	宁波东力
002165.SZ	红宝丽
002166.SZ	莱茵生物
002167.SZ	东方锆业
002168.SZ	深圳惠程
002169.SZ	智光电气
002170.SZ	芭田股份
002171.SZ	楚江新材
002172.SZ	澳洋科技
002173.SZ	*ST创疗
002174.SZ	游族网络
002175.SZ	东方网络
002176.SZ	江特电机
002177.SZ	御银股份
002178.SZ	延华智能
002179.SZ	中航光电
002180.SZ	艾派克
002181.SZ	粤传媒
002182.SZ	云海金属
002183.SZ	怡亚通
002184.SZ	海得控制
002185.SZ	华天科技
002186.SZ	全聚德
002187.SZ	广百股份
002188.SZ	巴士在线
002189.SZ	利达光电
002190.SZ	成飞集成
002191.SZ	劲嘉股份
002192.SZ	融捷股份
002193.SZ	山东如意
002194.SZ	武汉凡谷
002195.SZ	二三四五
002196.SZ	方正电机
002197.SZ	证通电子
002198.SZ	嘉应制药
002199.SZ	*ST东晶
002200.SZ	云投生态
002201.SZ	九鼎新材
002202.SZ	金风科技
002203.SZ	海亮股份
002204.SZ	大连重工
002205.SZ	国统股份
002206.SZ	海利得
002207.SZ	准油股份
002208.SZ	合肥城建
002209.SZ	达意隆
002210.SZ	飞马国际
002211.SZ	宏达新材
002212.SZ	南洋股份
002213.SZ	特尔佳
002214.SZ	大立科技
002215.SZ	诺普信
002216.SZ	三全食品
002217.SZ	合力泰
002218.SZ	拓日新能
002219.SZ	恒康医疗
002220.SZ	天宝股份
002221.SZ	东华能源
002222.SZ	福晶科技
002223.SZ	鱼跃医疗
002224.SZ	三力士
002225.SZ	濮耐股份
002226.SZ	江南化工
002227.SZ	奥特迅
002228.SZ	合兴包装
002229.SZ	鸿博股份
002230.SZ	科大讯飞
002231.SZ	奥维通信
002232.SZ	启明信息
002233.SZ	塔牌集团
002234.SZ	民和股份
002235.SZ	安妮股份
002236.SZ	大华股份
002237.SZ	恒邦股份
002238.SZ	天威视讯
002239.SZ	奥特佳
002240.SZ	威华股份
002241.SZ	歌尔股份
002242.SZ	九阳股份
002243.SZ	通产丽星
002244.SZ	滨江集团
002245.SZ	澳洋顺昌
002246.SZ	北化股份
002247.SZ	帝龙新材
002248.SZ	华东数控
002249.SZ	大洋电机
002250.SZ	联化科技
002251.SZ	步步高
002252.SZ	上海莱士
002253.SZ	川大智胜
002254.SZ	泰和新材
002255.SZ	海陆重工
002256.SZ	彩虹精化
002258.SZ	利尔化学
002259.SZ	升达林业
002260.SZ	德奥通航
002261.SZ	拓维信息
002262.SZ	恩华药业
002263.SZ	大东南
002264.SZ	新华都
002265.SZ	西仪股份
002266.SZ	浙富控股
002267.SZ	陕天然气
002268.SZ	卫士通
002269.SZ	美邦服饰
002270.SZ	华明装备
002271.SZ	东方雨虹
002272.SZ	川润股份
002273.SZ	水晶光电
002274.SZ	华昌化工
002275.SZ	桂林三金
002276.SZ	万马股份
002277.SZ	友阿股份
002278.SZ	神开股份
002279.SZ	久其软件
002280.SZ	联络互动
002281.SZ	光迅科技
002282.SZ	博深工具
002283.SZ	天润曲轴
002284.SZ	亚太股份
002285.SZ	世联行
002286.SZ	保龄宝
002287.SZ	奇正藏药
002288.SZ	超华科技
002289.SZ	*ST宇顺
002290.SZ	禾盛新材
002291.SZ	星期六
002292.SZ	奥飞娱乐
002293.SZ	罗莱生活
002294.SZ	信立泰
002295.SZ	精艺股份
002296.SZ	辉煌科技
002297.SZ	博云新材
002298.SZ	中电鑫龙
002299.SZ	圣农发展
002300.SZ	太阳电缆
