,month,cpi
0,2017.3,100.9
1,2017.2,100.8
2,2017.1,102.55
3,2016.12,102.08
4,2016.11,102.25
5,2016.10,102.1
6,2016.9,101.9
7,2016.8,101.34
8,2016.7,101.77
9,2016.6,101.88
10,2016.5,102.04
11,2016.4,102.33
12,2016.3,102.3
13,2016.2,102.28
14,2016.1,101.75
15,2015.12,101.64
16,2015.11,101.49
17,2015.10,101.27
18,2015.9,101.6
19,2015.8,101.96
20,2015.7,101.65
21,2015.6,101.39
22,2015.5,101.23
23,2015.4,101.51
24,2015.3,101.38
25,2015.2,101.43
26,2015.1,100.76
27,2014.12,101.51
28,2014.11,101.44
29,2014.10,101.6
30,2014.9,101.63
31,2014.8,101.99
32,2014.7,102.29
33,2014.6,102.34
34,2014.5,102.48
35,2014.4,101.8
36,2014.3,102.38
37,2014.2,101.95
38,2014.1,102.49
39,2013.12,102.5
40,2013.11,103.02
41,2013.10,103.21
42,2013.9,103.05
43,2013.8,102.57
44,2013.7,102.67
45,2013.6,102.67
46,2013.5,102.1
47,2013.4,102.39
48,2013.3,102.07
49,2013.2,103.22
50,2013.1,102.03
51,2012.12,102.52
52,2012.11,102.04
53,2012.10,101.72
54,2012.9,101.91
55,2012.8,102.05
56,2012.7,101.78
57,2012.6,102.15
58,2012.5,103.0
59,2012.4,103.37
60,2012.3,103.59
61,2012.2,103.16
62,2012.1,104.55
63,2011.12,104.1
64,2011.11,104.2
65,2011.10,105.5
66,2011.9,106.1
67,2011.8,106.2
68,2011.7,106.5
69,2011.6,106.4
70,2011.5,105.5
71,2011.4,105.3
72,2011.3,105.4
73,2011.2,104.9
74,2011.1,104.9
75,2010.12,104.6
76,2010.11,105.1
77,2010.10,104.4
78,2010.9,103.6
79,2010.8,103.5
80,2010.7,103.3
81,2010.6,102.9
82,2010.5,103.1
83,2010.4,102.8
84,2010.3,102.4
85,2010.2,102.7
86,2010.1,101.5
87,2009.12,101.9
88,2009.11,100.6
89,2009.10,99.5
90,2009.9,99.2
91,2009.8,98.8
92,2009.7,98.2
93,2009.6,98.3
94,2009.5,98.6
95,2009.4,98.5
96,2009.3,98.8
97,2009.2,98.4
98,2009.1,101.0
99,2008.12,101.2
100,2008.11,102.4
101,2008.10,104.0
102,2008.9,104.6
103,2008.8,104.9
104,2008.7,106.3
105,2008.6,107.1
106,2008.5,107.7
107,2008.4,108.5
108,2008.3,108.3
109,2008.2,108.7
110,2008.1,107.1
111,2007.12,106.5
112,2007.11,106.9
113,2007.10,106.5
114,2007.9,106.2
115,2007.8,106.5
116,2007.7,105.6
117,2007.6,104.4
118,2007.5,103.4
119,2007.4,103.0
120,2007.3,103.3
121,2007.2,102.7
122,2007.1,102.2
123,2006.12,102.8
124,2006.11,101.9
125,2006.10,101.4
126,2006.9,101.5
127,2006.8,101.3
128,2006.7,101.0
129,2006.6,101.5
130,2006.5,101.4
131,2006.4,101.2
132,2006.3,100.8
133,2006.2,100.9
134,2006.1,101.9
135,2005.12,101.6
136,2005.11,101.3
137,2005.10,101.2
138,2005.9,100.9
139,2005.8,101.3
140,2005.7,101.8
141,2005.6,101.6
142,2005.5,101.8
143,2005.4,101.8
144,2005.3,102.7
145,2005.2,103.9
146,2005.1,101.9
147,2004.12,102.4
148,2004.11,102.8
149,2004.10,104.3
150,2004.9,105.2
151,2004.8,105.3
152,2004.7,105.3
153,2004.6,105.0
154,2004.5,104.4
155,2004.4,103.8
156,2004.3,103.0
157,2004.2,102.1
158,2004.1,103.2
159,2003.12,103.2
160,2003.11,103.0
161,2003.10,101.8
162,2003.9,101.1
163,2003.8,100.9
164,2003.7,100.5
165,2003.6,100.3
166,2003.5,100.7
167,2003.4,101.0
168,2003.3,100.9
169,2003.2,100.2
170,2003.1,100.4
171,2002.12,99.6
172,2002.11,99.3
173,2002.10,99.2
174,2002.9,99.3
175,2002.8,99.3
176,2002.7,99.1
177,2002.6,99.2
178,2002.5,98.9
179,2002.4,98.7
180,2002.3,99.2
181,2002.2,100.0
182,2002.1,99.0
183,2001.12,99.7
184,2001.11,99.7
185,2001.10,100.2
186,2001.9,99.9
187,2001.8,101.0
188,2001.7,101.5
189,2001.6,101.4
190,2001.5,101.7
191,2001.4,101.6
192,2001.3,100.8
193,2001.2,100.0
194,2001.1,101.2
195,2000.12,101.5
196,2000.11,101.3
197,2000.10,100.0
198,2000.9,100.0
199,2000.8,100.3
200,2000.7,100.5
201,2000.6,100.5
202,2000.5,100.1
203,2000.4,99.7
204,2000.3,99.8
205,2000.2,100.7
206,2000.1,99.8
207,1999.12,99.0
208,1999.11,99.1
209,1999.10,99.4
210,1999.9,99.2
211,1999.8,98.7
212,1999.7,98.6
213,1999.6,97.9
214,1999.5,97.8
215,1999.4,97.8
216,1999.3,98.2
217,1999.2,98.7
218,1999.1,98.8
219,1998.12,99.0
220,1998.11,98.8
221,1998.10,98.9
222,1998.9,98.5
223,1998.8,98.6
224,1998.7,98.6
225,1998.6,98.7
226,1998.5,99.0
227,1998.4,99.7
228,1998.3,100.7
229,1998.2,99.9
230,1998.1,100.3
231,1997.12,100.4
232,1997.11,101.1
233,1997.10,101.5
234,1997.9,101.8
235,1997.8,101.9
236,1997.7,102.7
237,1997.6,102.8
238,1997.5,102.8
239,1997.4,103.2
240,1997.3,104.0
241,1997.2,105.6
242,1997.1,105.9
243,1996.12,107.0
244,1996.11,106.9
245,1996.10,107.0
246,1996.9,107.4
247,1996.8,108.1
248,1996.7,108.3
249,1996.6,108.6
250,1996.5,108.9
251,1996.4,109.7
252,1996.3,109.8
253,1996.2,109.3
254,1996.1,109.0
255,1995.12,110.1
256,1995.11,111.2
257,1995.10,112.1
258,1995.9,113.2
259,1995.8,114.5
260,1995.7,116.7
261,1995.6,118.2
262,1995.5,120.3
263,1995.4,120.7
264,1995.3,121.3
265,1995.2,122.4
266,1995.1,124.1
267,1994.12,125.5
268,1994.11,127.5
269,1994.10,127.7
270,1994.9,127.3
271,1994.8,125.8
272,1994.7,124.0
273,1994.6,122.6
274,1994.5,121.3
275,1994.4,121.7
276,1994.3,122.4
277,1994.2,123.2
278,1994.1,121.1
279,1993.12,118.8
280,1993.11,116.7
281,1993.10,115.9
282,1993.9,115.7
283,1993.8,116.0
284,1993.7,116.2
285,1993.6,115.1
286,1993.5,114.0
287,1993.4,112.6
288,1993.3,112.2
289,1993.2,110.5
290,1993.1,110.3
291,1992.12,108.8
292,1992.11,108.2
293,1992.10,107.9
294,1992.9,107.5
295,1992.8,105.8
296,1992.7,105.2
297,1992.6,104.8
298,1992.5,104.7
299,1992.4,107.1
300,1992.3,105.3
301,1992.2,105.3
302,1992.1,105.5
303,1991.12,104.5
304,1991.11,104.4
305,1991.10,104.8
306,1991.9,104.5
307,1991.8,104.9
308,1991.7,104.7
309,1991.6,104.4
310,1991.5,103.6
311,1991.4,101.3
312,1991.3,101.6
313,1991.2,101.0
314,1991.1,102.2
315,1990.12,104.3
316,1990.11,103.7
317,1990.10,103.1
318,1990.9,102.9
319,1990.8,102.5
320,1990.7,101.1
321,1990.6,101.1
322,1990.5,102.7
323,1990.4,103.2
324,1990.3,103.4
325,1990.2,104.4
326,1990.1,104.3
